num,time,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,0.0,0.0003141592653589793,0.000593411945678072,-0.0021642082724729686,-0.01,0.014,0.081,0.1698838001989194,-0.12105820067631422
0.0,98565.0,-0.0020943951023931952,0.009128071987930343,0.0020943951023931952,-0.012,0.003,-0.091,0.03267245184700191,-0.1310412711726628
0.0,196171.0,0.0008377580409572782,0.005934119456780721,-0.0010995574287564276,-0.005,-0.002,-0.035,-0.05650831830448949,-0.1416690340000862
0.0,293674.0,-0.0028797932657906437,6.981317007977319e-05,-3.490658503988659e-05,-0.009,-0.011,0.019,-0.4820479500077709,-0.3890448087376781
0.0,391150.0,-0.006876597252857658,0.003525565089028546,-0.000296705972839036,-0.011,0.007,-0.009,0.4576443400449103,-0.7674660326057106
0.0,488663.0,0.0008377580409572782,6.981317007977319e-05,0.002897246558310587,-0.009,-0.004,-0.006,-0.35420410578647027,-0.8953036317436159
0.0,586172.0,0.0003141592653589793,-0.0023387411976724015,0.001308996938995747,0.01,-0.005,0.029,-0.1615744647115149,0.3275716212066061
0.0,683674.0,0.001117010721276371,0.0011344640137963143,0.0020943951023931952,-0.0,0.007,-0.013,0.49394136891958124,-0.0
0.0,781162.0,0.004572762640225144,0.0032637657012293962,0.0026354471705114374,-0.001,0.003,-0.006,0.45819038227285996,-0.1479814607487837
0.0,878682.0,0.0008377580409572782,-0.003403392041388943,-0.0016231562043547264,0.008,0.003,0.032,0.09070131315965844,0.2439511586874931
0.0,976188.0,-0.0028797932657906437,-0.00047123889803846896,0.0015707963267948964,-0.009,0.017,-0.006,1.0041310866186561,-0.46303156066151013
0.0,1073683.0,0.0005759586531581288,-0.00047123889803846896,-0.001361356816555577,0.002,-0.008,0.018,-0.4159520869501076,0.10118784278354842
0.0,1171182.0,0.0005759586531581288,-0.007400196028455957,-0.0029670597283903604,-0.003,-0.001,0.022,-0.04500732044082559,-0.13538962549141942
0.0,1268714.0,0.0008377580409572782,0.003787364476827695,-0.0042935099599060505,0.004,0.011,-0.011,0.7543705014129373,0.251677666819774
0.0,1366199.0,-0.0004886921905584122,-0.0028623399732707008,0.003159045946109736,-0.001,0.006,0.039,0.15259994769441873,-0.02533744055645666
0.0,1463698.0,-0.0012915436464758037,-0.0007330382858376184,0.0020943951023931952,-0.007,0.003,0.024,0.11942892601833845,-0.28171714803132697
0.0,1561192.0,-0.0020943951023931952,0.0011344640137963143,-0.0016231562043547264,0.013,0.005,0.005,0.3446514971078415,1.0726266433391023
0.0,1658706.0,0.0008377580409572782,-0.00047123889803846896,0.0010297442586766543,0.002,0.001,0.034,0.02935257826493313,0.05873048414656094
